
No.	Name	Perf Week	Perf Month	Perf Quart	Perf Half	Perf Year	Perf YTD	Recom	Avg Volume	Rel Volume	Change	Volume
1	Advertising Agencies	1.96%	-7.68%	14.68%	-12.98%	49.63%	-10.99%	1.74	48.85M	0.91	1.19%	44.46M
2	Aerospace & Defense	1.64%	3.67%	18.12%	25.64%	37.63%	25.93%	1.82	161.19M	0.57	1.15%	91.74M
3	Agricultural Inputs	4.26%	5.45%	21.23%	31.12%	30.32%	29.51%	2.09	19.79M	0.47	0.16%	9.38M
4	Airlines	4.54%	3.66%	17.77%	-4.68%	4.77%	-4.20%	1.74	139.31M	0.51	0.64%	71.52M
5	Airports & Air Services	4.50%	6.44%	28.58%	25.48%	38.94%	26.89%	2.51	25.27M	0.92	0.52%	23.15M
6	Aluminum	4.85%	10.49%	9.29%	-4.23%	-16.40%	-5.65%	1.66	10.50M	0.48	-0.12%	5.06M
7	Apparel Manufacturing	5.44%	1.60%	1.05%	-12.33%	5.38%	-12.69%	2.19	48.25M	0.44	0.66%	21.30M
8	Apparel Retail	4.32%	-5.17%	0.15%	-8.77%	0.90%	-8.52%	1.83	58.28M	0.48	0.54%	27.88M
9	Asset Management	4.12%	8.84%	10.00%	0.77%	29.11%	1.00%	1.99	153.68M	0.58	1.28%	88.78M
10	Auto & Truck Dealerships	9.01%	6.46%	22.70%	20.31%	53.63%	21.55%	1.97	22.54M	0.46	0.60%	10.48M
11	Auto Manufacturers	-0.99%	-6.16%	8.57%	-17.70%	22.73%	-15.65%	2.38	495.11M	0.87	0.29%	429.67M
12	Auto Parts	5.41%	3.83%	5.82%	11.96%	16.52%	11.61%	1.85	107.43M	0.78	1.38%	83.99M
13	Banks - Diversified	2.82%	7.48%	16.21%	22.36%	36.61%	22.40%	1.88	142.33M	0.64	1.06%	90.51M
14	Banks - Regional	3.24%	6.73%	12.92%	14.21%	29.02%	14.58%	1.87	375.79M	0.63	1.08%	236.17M
15	Beverages - Brewers	2.08%	-2.09%	4.60%	19.82%	4.63%	19.26%	1.78	41.48M	0.32	-0.64%	13.26M
16	Beverages - Non-Alcoholic	3.60%	1.54%	-1.78%	7.13%	3.79%	6.73%	1.91	64.14M	0.54	0.30%	34.58M
17	Beverages - Wineries & Distilleries	4.70%	-4.91%	-4.68%	-18.72%	-20.97%	-19.07%	2.54	13.24M	0.38	-0.50%	4.98M
18	Biotechnology	2.06%	4.01%	4.05%	-1.40%	-9.68%	-1.94%	1.56	618.13M	0.77	0.82%	477.16M
19	Broadcasting	5.21%	2.91%	-20.11%	-20.19%	-18.17%	-20.93%	1.94	24.19M	0.49	1.21%	11.79M
20	Building Materials	4.22%	0.63%	6.14%	1.03%	15.67%	1.26%	1.77	26.03M	0.48	0.27%	12.53M
21	Building Products & Equipment	3.90%	5.16%	15.63%	9.12%	20.19%	9.32%	2.15	35.92M	0.61	0.64%	21.92M
22	Business Equipment & Supplies	4.59%	2.63%	-2.34%	-16.50%	-14.11%	-16.31%	1.00	1.24M	0.45	0.80%	554.56K
23	Capital Markets	3.76%	15.63%	28.06%	25.71%	49.93%	26.05%	2.06	400.03M	1.35	0.66%	542.03M
24	Chemicals	5.12%	5.05%	-10.74%	-24.59%	-45.21%	-25.88%	2.54	31.15M	0.52	-0.31%	16.21M
25	Coking Coal	15.16%	8.55%	3.94%	-20.48%	-43.34%	-20.20%	1.96	3.43M	0.76	-1.06%	2.60M
26	Communication Equipment	1.98%	7.61%	12.56%	10.45%	39.38%	10.57%	2.06	151.83M	0.83	1.03%	125.65M
27	Computer Hardware	2.49%	10.50%	30.40%	4.40%	2.75%	5.45%	1.78	283.68M	0.54	0.69%	153.50M
28	Confectioners	2.71%	4.01%	5.16%	13.09%	3.75%	12.73%	2.20	9.65M	0.44	-0.70%	4.25M
29	Conglomerates	4.40%	5.03%	7.94%	9.04%	22.52%	9.18%	2.07	16.17M	0.60	0.15%	9.67M
30	Consulting Services	1.74%	-1.48%	1.07%	1.81%	0.90%	1.83%	2.27	6.51M	2.01	0.46%	13.09M
31	Consumer Electronics	5.94%	4.59%	-4.27%	-14.13%	0.06%	-13.53%	1.99	74.97M	0.53	0.48%	39.67M
32	Copper	1.85%	14.29%	17.43%	19.66%	-1.66%	19.94%	2.48	39.77M	0.53	-0.15%	20.88M
33	Credit Services	4.42%	2.36%	8.66%	11.32%	37.48%	11.19%	1.85	144.22M	0.59	1.17%	85.21M
34	Department Stores	11.21%	12.20%	10.96%	-13.21%	-19.54%	-12.95%	3.66	17.77M	0.46	0.85%	8.11M
35	Diagnostics & Research	2.20%	6.51%	-0.42%	-8.97%	-10.26%	-9.00%	1.69	57.74M	0.43	0.27%	24.66M
36	Discount Stores	1.79%	-2.70%	7.05%	7.62%	27.69%	7.99%	1.68	42.47M	0.42	0.52%	18.02M
37	Drug Manufacturers - General	1.11%	1.77%	-3.13%	1.56%	-11.90%	1.19%	1.99	147.81M	0.64	-0.59%	94.96M
38	Drug Manufacturers - Specialty & Generic	1.56%	-1.04%	6.41%	2.15%	5.61%	1.89%	1.81	128.24M	0.61	2.07%	77.73M
39	Education & Training Services	-2.38%	-1.35%	2.19%	6.21%	8.03%	5.14%	1.79	41.55M	0.48	0.41%	19.98M
40	Electrical Equipment & Parts	3.63%	13.33%	34.32%	3.59%	21.65%	4.88%	1.82	176.14M	0.67	1.75%	117.71M
41	Electronic Components	3.11%	11.91%	37.08%	30.52%	42.14%	30.66%	1.75	41.65M	0.53	1.11%	22.23M
42	Electronic Gaming & Multimedia	-0.51%	7.89%	27.73%	39.13%	53.00%	39.64%	1.74	20.08M	0.38	0.14%	7.58M
43	Electronics & Computer Distribution	3.80%	10.71%	19.22%	10.43%	6.44%	9.65%	2.36	3.08M	0.59	0.53%	1.83M
44	Engineering & Construction	2.85%	7.99%	32.19%	18.33%	38.61%	18.90%	1.72	29.18M	0.55	1.67%	16.00M
45	Entertainment	0.31%	7.54%	28.66%	27.67%	60.61%	28.29%	1.76	151.08M	0.57	0.91%	86.16M
