
No.	Name	Market Cap	P/E	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS past 5Y	EPS next 5Y	Sales past 5Y	Change	Volume
1	Advertising Agencies	190.88B	37.95	20.22	1.25	2.74	8.03	13.62	22.16	57.42%	30.44%	28.02%	-1.96%	132.10M
2	Aerospace & Defense	1466.58B	42.84	29.46	2.90	2.99	7.11	23.04	46.42	21.67%	14.77%	3.60%	1.73%	373.28M
3	Agricultural Inputs	124.98B	30.67	16.38	2.89	1.61	1.63	20.75	19.69	3.24%	10.61%	4.37%	0.11%	21.92M
4	Airlines	145.92B	11.80	8.42	0.64	0.53	2.42	2.73	11.12	-5.97%	18.41%	6.12%	1.04%	143.79M
5	Airports & Air Services	35.11B	24.19	17.87	1.91	4.63	4.97	9.62	27.41	21.77%	12.65%	13.36%	0.24%	57.67M
6	Aluminum	12.27B	11.28	9.22	0.26	0.48	1.53	8.10	35.26	-5.09%	43.80%	4.26%	-3.17%	16.96M
7	Apparel Manufacturing	61.23B	28.85	16.77	2.30	0.93	3.41	9.13	14.53	11.37%	12.52%	1.76%	0.92%	63.19M
8	Apparel Retail	259.77B	17.72	19.19	2.31	1.53	6.93	16.90	27.91	11.77%	7.68%	7.68%	0.97%	89.46M
9	Asset Management	1293.19B	28.31	17.45	2.04	3.59	3.44	11.38	21.25	5.29%	13.88%	18.46%	1.06%	222.28M
10	Auto & Truck Dealerships	146.00B	28.89	21.14	0.76	0.68	3.92	23.56	35.91	15.93%	37.84%	18.53%	2.06%	38.10M
11	Auto Manufacturers	1608.00B	26.07	23.63	1.90	1.38	2.61	5.90	89.60	21.47%	13.72%	28.60%	0.27%	646.57M
12	Auto Parts	282.73B	21.54	15.24	1.93	1.00	3.81	16.04	20.57	5.55%	11.19%	8.52%	0.90%	284.83M
13	Banks - Diversified	3079.34B	13.12	11.00	1.18	1.69	1.45	991.26	16.06	10.09%	11.10%	12.11%	-0.01%	174.42M
14	Banks - Regional	1654.39B	14.35	10.52	1.03	1.69	1.35	1357.95	9.45	7.91%	13.95%	15.60%	0.20%	659.36M
15	Beverages - Brewers	220.73B	22.61	14.39	2.31	1.53	1.76	10.15	11.26	-9.34%	9.78%	3.96%	-0.52%	49.53M
16	Beverages - Non-Alcoholic	677.22B	26.07	19.62	3.70	3.08	6.83	21.18	45.07	7.46%	7.04%	7.98%	1.04%	128.79M
17	Beverages - Wineries & Distilleries	82.37B	18.45	17.78	75.95	2.79	5.14	26.40	21.99	0.86%	0.24%	4.16%	0.06%	11.69M
18	Biotechnology	805.21B	55.53	32.48	2.98	8.36	3.56	4.64	56.26	-10.29%	18.61%	47.09%	-0.85%	1.36B
19	Broadcasting	12.04B	7.94	7.13	-	0.49	1.29	4.40	4.09	30.94%	-7.17%	32.02%	-0.45%	36.35M
20	Building Materials	174.17B	21.34	16.89	1.86	2.24	2.89	27.19	31.55	21.90%	11.47%	6.71%	2.25%	37.27M
21	Building Products & Equipment	376.66B	24.68	20.75	2.26	2.50	5.59	50.47	26.89	12.27%	10.92%	5.68%	0.79%	65.51M
22	Business Equipment & Supplies	1.15B	29.54	11.85	-	0.51	0.72	2.48	6.78	1.33%	-	17.14%	0.18%	1.44M
23	Capital Markets	976.11B	21.86	17.74	1.68	1.85	2.84	4.34	9.05	13.64%	12.99%	31.36%	-0.43%	576.53M
24	Chemicals	37.76B	43.81	16.43	10.71	0.39	1.06	4.76	19.61	16.59%	4.09%	2.35%	-0.26%	42.54M
25	Coking Coal	4.98B	22.19	7.59	1.09	0.77	1.07	4.24	12.52	-7.25%	20.36%	7.48%	4.08%	6.47M
26	Communication Equipment	529.01B	33.42	17.95	3.98	2.93	4.20	9.95	21.16	11.28%	8.40%	1.89%	-0.01%	204.22M
27	Computer Hardware	398.15B	28.73	20.24	1.37	1.80	9.98	10.33	26.62	10.92%	21.02%	11.13%	-1.17%	323.36M
28	Confectioners	124.55B	26.31	23.81	-	2.60	4.19	37.54	23.78	7.67%	-0.31%	7.05%	0.02%	14.45M
29	Conglomerates	253.34B	22.82	19.13	3.03	1.99	6.31	10.48	34.53	0.82%	7.53%	-0.99%	0.92%	34.08M
30	Consulting Services	100.65B	32.50	25.87	2.68	3.38	9.48	36.32	30.44	18.12%	12.15%	6.38%	0.63%	12.59M
31	Consumer Electronics	3167.26B	30.69	25.40	4.09	6.24	25.02	43.65	27.24	14.97%	7.51%	8.19%	0.18%	92.29M
32	Copper	154.58B	28.04	20.41	2.11	3.89	4.86	15.15	29.62	17.49%	13.28%	10.34%	-1.74%	46.86M
33	Credit Services	1733.86B	28.45	20.90	2.00	5.32	6.17	12.09	18.37	10.51%	14.25%	10.40%	0.85%	183.81M
34	Department Stores	10.52B	9.75	13.00	-	0.23	1.09	4.69	10.67	31.22%	-20.37%	-0.45%	1.15%	31.44M
35	Diagnostics & Research	614.81B	33.81	20.85	3.55	3.81	3.50	25.35	25.41	9.18%	9.53%	9.89%	-0.50%	94.37M
36	Discount Stores	1333.67B	40.83	33.56	4.48	1.15	9.36	44.77	47.10	9.53%	9.12%	7.21%	0.91%	52.60M
37	Drug Manufacturers - General	3034.23B	24.53	13.07	1.21	4.39	6.15	21.67	18.56	6.44%	20.29%	9.56%	-0.75%	209.68M
38	Drug Manufacturers - Specialty & Generic	302.69B	34.58	13.77	2.16	2.29	2.27	11.76	15.22	11.37%	15.98%	8.08%	-0.63%	168.78M
39	Education & Training Services	53.10B	21.63	17.45	1.30	1.68	2.43	3.61	23.59	13.00%	16.61%	8.74%	0.73%	45.68M
40	Electrical Equipment & Parts	123.61B	35.86	22.15	1.94	3.04	5.05	15.00	27.68	22.21%	18.46%	10.13%	0.97%	218.88M
41	Electronic Components	326.16B	43.40	23.15	2.69	2.29	5.46	21.55	30.49	17.02%	16.13%	7.73%	0.21%	121.10M
42	Electronic Gaming & Multimedia	242.95B	40.33	20.18	1.93	6.60	7.57	8.35	26.88	-22.35%	20.88%	21.57%	0.23%	29.61M
43	Electronics & Computer Distribution	29.81B	17.46	10.40	1.35	0.24	1.32	14.57	9.96	5.30%	12.91%	8.33%	-0.85%	5.23M
44	Engineering & Construction	304.27B	24.45	25.91	1.53	1.57	5.32	17.30	24.94	24.07%	15.95%	10.79%	1.07%	46.91M
45	Entertainment	1168.08B	54.73	37.03	2.63	3.52	5.11	20.43	32.77	18.61%	20.79%	11.77%	1.07%	182.26M
46	Farm & Heavy Construction Machinery	416.37B	19.69	18.06	12.94	2.02	4.94	16.07	22.86	16.32%	1.52%	4.27%	0.69%	44.81M
47	Farm Products	67.18B	15.02	12.46	2.37	0.32	1.20	6.11	24.26	4.64%	6.35%	6.58%	-1.09%	17.15M
48	Financial Conglomerates	43.37B	14.39	2.63	1.00	1.34	1.23	2.85	4.34	4.73%	14.41%	14.22%	0.70%	11.65M
49	Financial Data & Stock Exchanges	711.31B	39.38	27.30	4.43	9.75	5.55	31.90	27.81	9.01%	8.88%	18.09%	0.02%	52.67M
50	Food Distribution	75.82B	25.39	16.69	1.93	0.31	4.62	33.93	17.73	5.57%	13.17%	9.88%	0.87%	14.67M
