No.	Name	Perf Week	Perf Month	Perf Quart	Perf Half	Perf Year	Perf YTD	Recom	Avg Volume	Rel Volume	Change	Volume
1	Advertising Agencies	2.39%	-10.96%	15.54%	-17.93%	44.58%	-14.41%	1.74	48.18M	2.74	-1.96%	132.10M
2	Aerospace & Defense	3.65%	6.05%	17.22%	25.15%	37.25%	26.05%	1.83	155.27M	2.40	1.73%	373.28M
3	Agricultural Inputs	-1.84%	2.12%	16.96%	24.59%	22.58%	24.34%	2.09	19.87M	1.10	0.11%	21.92M
4	Airlines	5.06%	0.54%	8.62%	-8.54%	-1.02%	-7.39%	1.74	143.26M	1.00	1.04%	143.79M
5	Airports & Air Services	5.28%	0.99%	21.91%	20.56%	32.93%	21.71%	2.51	23.35M	2.47	0.24%	57.67M
6	Aluminum	3.61%	5.33%	-3.13%	-14.53%	-24.09%	-12.87%	1.60	10.47M	1.62	-3.17%	16.96M
7	Apparel Manufacturing	2.95%	-5.77%	-0.58%	-17.37%	-3.93%	-16.43%	2.18	49.71M	1.27	0.92%	63.19M
8	Apparel Retail	0.53%	-7.45%	-2.67%	-11.58%	-3.58%	-11.45%	1.82	59.37M	1.51	0.97%	89.46M
9	Asset Management	5.59%	5.95%	7.22%	-2.67%	23.90%	-1.97%	1.98	157.78M	1.41	1.06%	222.28M
10	Auto & Truck Dealerships	0.52%	3.02%	20.78%	10.56%	43.21%	13.76%	1.96	22.39M	1.70	2.06%	38.10M
11	Auto Manufacturers	1.35%	-6.63%	11.53%	-17.56%	31.62%	-14.58%	2.39	502.59M	1.29	0.27%	646.57M
12	Auto Parts	1.44%	-0.56%	0.64%	6.50%	8.60%	6.84%	1.85	107.06M	2.66	0.90%	284.83M
13	Banks - Diversified	3.98%	5.90%	11.12%	19.64%	36.01%	19.02%	1.88	143.55M	1.22	-0.01%	174.42M
14	Banks - Regional	4.43%	4.12%	8.59%	10.46%	27.18%	11.20%	1.86	373.14M	1.77	0.20%	659.36M
15	Beverages - Brewers	-2.28%	-4.26%	2.27%	14.23%	-0.56%	16.15%	1.78	41.35M	1.20	-0.52%	49.53M
16	Beverages - Non-Alcoholic	0.99%	-0.49%	-3.43%	4.38%	-0.39%	4.09%	1.90	65.14M	1.98	1.04%	128.79M
17	Beverages - Wineries & Distilleries	0.24%	-9.80%	-8.33%	-22.82%	-26.77%	-22.66%	2.53	13.02M	0.90	0.06%	11.69M
18	Biotechnology	1.00%	3.74%	-3.43%	-5.75%	-13.47%	-4.62%	1.55	571.47M	2.38	-0.85%	1.36B
19	Broadcasting	1.62%	-6.01%	-35.01%	-25.28%	-18.74%	-25.18%	1.92	24.66M	1.47	-0.45%	36.35M
20	Building Materials	3.81%	-0.01%	5.12%	-2.78%	10.94%	-0.95%	1.70	30.32M	1.23	2.25%	37.27M
21	Building Products & Equipment	3.56%	2.21%	12.20%	4.24%	13.39%	6.18%	2.14	39.23M	1.67	0.79%	65.51M
22	Business Equipment & Supplies	2.82%	-1.38%	-8.48%	-20.24%	-17.71%	-19.83%	1.00	1.25M	1.15	0.18%	1.44M
23	Capital Markets	3.43%	11.62%	22.60%	20.75%	46.32%	21.05%	2.01	343.87M	1.68	-0.43%	576.53M
24	Chemicals	-0.54%	-0.84%	-17.09%	-29.05%	-48.81%	-29.66%	2.53	30.65M	1.39	-0.26%	42.54M
25	Coking Coal	1.41%	-3.23%	-11.26%	-28.60%	-39.49%	-27.88%	1.94	3.11M	2.08	4.08%	6.47M
26	Communication Equipment	3.89%	6.29%	10.98%	7.47%	36.43%	8.18%	2.06	158.16M	1.29	-0.01%	204.22M
27	Computer Hardware	7.90%	6.63%	24.78%	-0.30%	0.66%	1.69%	1.78	282.16M	1.15	-1.17%	323.36M
28	Confectioners	-1.19%	2.76%	-0.10%	10.49%	-2.40%	9.79%	2.19	9.91M	1.46	0.02%	14.45M
29	Conglomerates	3.92%	2.14%	4.68%	5.23%	16.78%	5.53%	2.07	16.30M	2.09	0.92%	34.08M
30	Consulting Services	1.14%	-2.34%	1.52%	-0.13%	-1.96%	0.73%	2.27	6.46M	1.95	0.63%	12.59M
31	Consumer Electronics	0.34%	0.33%	-9.59%	-19.74%	-1.90%	-18.24%	2.02	74.23M	1.24	0.18%	92.29M
32	Copper	9.47%	12.57%	9.30%	12.64%	-6.39%	15.72%	2.43	40.53M	1.16	-1.74%	46.86M
33	Credit Services	4.10%	0.21%	4.13%	6.78%	29.82%	7.38%	1.83	143.70M	1.28	0.85%	183.81M
34	Department Stores	2.66%	-0.89%	0.45%	-21.50%	-30.43%	-20.83%	3.66	18.36M	1.71	1.15%	31.44M
35	Diagnostics & Research	1.80%	4.59%	-5.60%	-11.97%	-15.06%	-11.40%	1.69	57.50M	1.64	-0.50%	94.37M
36	Discount Stores	1.15%	-0.28%	10.14%	5.86%	26.13%	7.06%	1.66	44.20M	1.19	0.91%	52.60M
37	Drug Manufacturers - General	0.03%	2.27%	-5.93%	-2.16%	-14.22%	-0.67%	1.98	147.91M	1.42	-0.75%	209.68M
38	Drug Manufacturers - Specialty & Generic	-3.19%	-1.53%	3.02%	-0.68%	3.55%	-0.22%	1.82	124.71M	1.35	-0.63%	168.78M
39	Education & Training Services	3.79%	0.62%	7.08%	9.76%	14.09%	8.62%	1.77	35.24M	1.30	0.73%	45.68M
40	Electrical Equipment & Parts	5.87%	10.88%	30.08%	-0.10%	14.46%	2.21%	1.81	168.99M	1.30	0.97%	218.88M
41	Electronic Components	4.80%	12.04%	31.20%	25.30%	36.60%	27.02%	1.75	41.90M	2.89	0.21%	121.10M
42	Electronic Gaming & Multimedia	3.18%	11.19%	31.23%	38.29%	55.89%	40.71%	1.74	20.42M	1.45	0.23%	29.61M
43	Electronics & Computer Distribution	4.81%	5.95%	12.67%	3.58%	-0.42%	4.58%	2.34	3.28M	1.60	-0.85%	5.23M
44	Engineering & Construction	4.79%	8.48%	32.93%	14.78%	30.11%	16.83%	1.71	27.83M	1.69	1.07%	46.91M
45	Entertainment	5.67%	9.10%	26.16%	27.50%	60.57%	29.27%	1.73	151.76M	1.20	1.07%	182.26M
46	Farm & Heavy Construction Machinery	3.12%	5.30%	8.52%	8.10%	18.99%	9.14%	2.23	32.43M	1.38	0.69%	44.81M
47	Farm Products	-2.05%	3.68%	1.13%	-0.28%	-9.42%	0.15%	2.56	17.09M	1.00	-1.09%	17.15M
48	Financial Conglomerates	4.54%	1.27%	1.85%	5.70%	8.37%	5.10%	1.92	3.11M	3.74	0.70%	11.65M
49	Financial Data & Stock Exchanges	3.76%	4.14%	9.14%	9.76%	27.34%	10.83%	1.97	42.13M	1.25	0.02%	52.67M
50	Food Distribution	1.35%	1.69%	6.96%	3.07%	14.74%	3.18%	1.78	9.53M	1.54	0.87%	14.67M
51	Footwear & Accessories	12.66%	7.87%	6.50%	-14.95%	-21.80%	-13.30%	2.08	55.96M	3.09	9.98%	173.18M
52	Furnishings, Fixtures & Appliances	4.71%	4.56%	4.93%	-2.71%	13.24%	-3.30%	1.74	20.72M	2.61	1.29%	54.18M
53	Gambling	6.30%	11.90%	13.57%	6.88%	24.76%	7.82%	1.39	34.27M	1.75	1.97%	60.07M
54	Gold	-3.62%	1.51%	10.71%	47.79%	51.74%	49.62%	1.81	262.06M	1.24	-3.96%	324.17M
55	Grocery Stores	-1.42%	0.93%	5.26%	13.00%	35.14%	13.23%	2.22	26.12M	2.06	0.43%	53.93M
56	Health Information Services	3.05%	14.06%	14.39%	19.02%	44.91%	23.49%	1.86	56.40M	2.18	0.60%	122.79M
57	Healthcare Plans	2.24%	4.04%	-24.77%	-17.92%	-24.84%	-17.77%	1.84	60.81M	2.06	1.30%	125.27M
58	Home Improvement Retail	5.28%	0.12%	0.07%	-7.35%	6.51%	-6.66%	1.93	9.24M	1.31	1.32%	12.09M
59	Household & Personal Products	-0.19%	-4.13%	-3.22%	-2.84%	-3.73%	-2.25%	2.11	124.08M	1.66	0.69%	206.28M
60	Industrial Distribution	1.98%	3.47%	7.78%	3.94%	13.36%	6.29%	2.48	17.23M	2.12	0.77%	36.61M
61	Information Technology Services	3.59%	2.05%	0.33%	-4.31%	16.48%	-3.47%	2.06	279.07M	2.49	-0.35%	694.25M
62	Insurance - Diversified	0.30%	-2.81%	-7.74%	7.36%	17.36%	7.51%	2.30	25.74M	1.21	0.17%	31.17M
63	Insurance - Life	2.69%	3.60%	-1.50%	4.64%	15.64%	4.36%	2.23	26.94M	1.92	0.29%	51.64M
64	Insurance - Property & Casualty	0.28%	-2.12%	-2.15%	7.35%	21.94%	7.43%	2.19	26.23M	2.20	0.43%	57.79M
65	Insurance - Reinsurance	0.23%	0.19%	-3.10%	-2.79%	-1.34%	-4.18%	1.99	2.73M	1.73	-0.64%	4.72M
66	Insurance - Specialty	2.31%	4.03%	-2.22%	6.46%	18.60%	6.11%	2.02	12.23M	1.60	0.39%	19.56M
