
No.	Name	Perf Week	Perf Month	Perf Quart	Perf Half	Perf Year	Perf YTD	Recom	Avg Volume	Rel Volume	Change	Volume
1	Advertising Agencies	3.77%	-6.22%	18.59%	-14.78%	50.57%	-11.07%	1.73	48.44M	1.10	3.91%	53.43M
2	Aerospace & Defense	2.89%	6.09%	20.14%	24.78%	37.85%	26.84%	1.82	156.80M	1.40	0.63%	219.55M
3	Agricultural Inputs	-1.13%	3.63%	19.78%	24.61%	22.33%	25.09%	2.09	19.96M	0.91	0.60%	18.13M
4	Airlines	3.67%	0.72%	13.06%	-9.37%	0.62%	-7.04%	1.74	142.71M	0.66	0.38%	94.02M
5	Airports & Air Services	8.03%	5.31%	28.66%	21.86%	38.86%	25.43%	2.52	24.33M	2.99	3.05%	72.67M
6	Aluminum	3.10%	8.15%	3.03%	-13.00%	-21.75%	-11.16%	1.66	10.47M	0.89	1.96%	9.33M
7	Apparel Manufacturing	2.39%	-4.25%	1.94%	-17.43%	-3.06%	-16.43%	2.19	49.70M	0.73	-0.00%	36.14M
8	Apparel Retail	0.43%	-7.07%	1.70%	-12.35%	-3.10%	-11.30%	1.85	59.22M	0.80	0.17%	47.38M
9	Asset Management	4.95%	5.62%	10.31%	-4.11%	24.62%	-2.02%	1.98	157.54M	0.92	-0.05%	144.32M
10	Auto & Truck Dealerships	1.95%	5.34%	25.04%	11.35%	45.68%	15.89%	1.96	22.54M	0.97	1.88%	21.92M
11	Auto Manufacturers	-5.45%	-8.79%	13.15%	-23.14%	26.58%	-15.98%	2.41	500.41M	0.74	-1.64%	369.67M
12	Auto Parts	1.09%	0.70%	3.42%	6.22%	10.37%	7.70%	1.84	107.48M	1.31	0.80%	140.42M
13	Banks - Diversified	3.80%	6.22%	14.29%	19.12%	37.48%	19.76%	1.88	143.79M	0.99	0.62%	141.65M
14	Banks - Regional	3.35%	3.70%	10.74%	9.79%	27.21%	11.31%	1.86	375.93M	1.28	0.10%	480.81M
15	Beverages - Brewers	-2.02%	-4.32%	3.42%	15.37%	1.13%	17.07%	1.78	41.49M	1.41	0.80%	58.65M
16	Beverages - Non-Alcoholic	1.25%	-0.42%	-2.16%	4.34%	0.43%	4.95%	1.90	65.06M	0.96	0.82%	62.61M
17	Beverages - Wineries & Distilleries	0.53%	-10.50%	-7.67%	-22.71%	-25.78%	-22.27%	2.53	13.11M	0.93	0.51%	12.19M
18	Biotechnology	0.79%	1.74%	-2.19%	-5.96%	-12.08%	-4.55%	1.56	614.49M	1.23	0.06%	755.98M
19	Broadcasting	3.53%	-3.37%	-31.90%	-23.77%	-16.50%	-23.09%	1.93	24.74M	1.03	2.80%	25.52M
20	Building Materials	0.53%	-1.48%	7.07%	-4.51%	9.87%	-2.10%	1.79	30.67M	1.49	-0.09%	45.79M
21	Building Products & Equipment	1.96%	2.05%	16.41%	3.91%	14.90%	6.51%	2.14	39.77M	1.66	0.32%	66.12M
22	Business Equipment & Supplies	-1.26%	-3.40%	-7.92%	-21.84%	-19.00%	-20.89%	1.00	1.26M	0.81	-1.32%	1.02M
23	Capital Markets	4.85%	14.25%	28.70%	21.09%	50.08%	23.58%	2.04	350.55M	1.97	2.09%	691.22M
24	Chemicals	-0.82%	-4.14%	-16.71%	-30.70%	-50.17%	-31.08%	2.53	30.81M	1.06	-2.01%	32.54M
25	Coking Coal	5.77%	3.26%	-2.47%	-23.66%	-36.99%	-23.61%	1.94	3.21M	2.56	5.91%	8.22M
26	Communication Equipment	3.70%	8.38%	13.37%	7.65%	39.55%	9.61%	2.06	160.07M	1.60	1.32%	255.36M
27	Computer Hardware	8.05%	13.01%	30.64%	0.31%	3.50%	3.60%	1.78	283.27M	0.94	1.88%	264.88M
28	Confectioners	-2.14%	0.48%	-0.75%	8.67%	-1.22%	9.21%	2.19	9.89M	1.15	-0.52%	11.37M
29	Conglomerates	3.21%	2.73%	7.85%	5.38%	18.40%	6.60%	2.07	16.32M	0.84	1.01%	13.72M
30	Consulting Services	1.76%	-1.43%	3.70%	0.40%	-0.39%	1.77%	2.27	6.51M	1.03	1.04%	6.73M
31	Consumer Electronics	2.05%	2.37%	-5.40%	-19.13%	-1.97%	-16.70%	2.02	74.91M	1.36	1.88%	101.91M
32	Copper	6.54%	10.61%	11.74%	10.73%	-7.14%	14.34%	2.43	40.29M	0.68	-1.19%	27.21M
33	Credit Services	4.26%	1.40%	8.64%	7.13%	32.14%	9.10%	1.83	145.30M	1.52	1.60%	220.41M
34	Department Stores	5.75%	1.72%	4.37%	-21.74%	-28.20%	-19.78%	3.65	18.33M	0.81	1.32%	14.87M
35	Diagnostics & Research	1.39%	3.81%	-4.00%	-12.73%	-15.09%	-11.59%	1.69	57.74M	0.86	-0.21%	49.88M
36	Discount Stores	-0.54%	0.37%	11.52%	4.37%	25.75%	7.47%	1.67	44.12M	0.85	0.38%	37.66M
37	Drug Manufacturers - General	0.83%	1.83%	-6.01%	-1.60%	-12.90%	-0.13%	1.98	148.40M	0.87	0.55%	128.88M
38	Drug Manufacturers - Specialty & Generic	-0.81%	-3.14%	4.12%	-0.73%	3.53%	-0.04%	1.82	124.96M	0.76	0.19%	95.31M
39	Education & Training Services	0.99%	-0.23%	8.19%	7.81%	12.40%	7.79%	1.78	41.50M	1.45	-0.63%	60.07M
40	Electrical Equipment & Parts	7.33%	13.02%	35.91%	0.27%	18.90%	3.55%	1.81	168.74M	1.86	1.16%	314.64M
41	Electronic Components	4.09%	12.31%	35.98%	25.11%	39.65%	28.15%	1.75	41.93M	1.05	0.89%	44.19M
42	Electronic Gaming & Multimedia	2.38%	12.63%	33.62%	38.50%	53.71%	41.73%	1.74	20.23M	0.95	0.75%	19.31M
43	Electronics & Computer Distribution	3.62%	7.02%	15.84%	3.74%	0.98%	5.54%	2.36	3.14M	1.06	0.76%	3.35M
44	Engineering & Construction	3.35%	8.53%	34.37%	13.76%	31.55%	16.82%	1.71	27.92M	0.95	-0.01%	26.61M
45	Entertainment	5.51%	11.66%	32.14%	26.86%	61.67%	30.68%	1.72	152.73M	0.91	1.11%	139.70M
46	Farm & Heavy Construction Machinery	2.98%	5.47%	11.78%	7.76%	18.84%	9.23%	2.23	32.42M	0.95	0.08%	30.79M
47	Farm Products	-0.50%	4.27%	2.66%	0.46%	-8.64%	1.13%	2.56	17.16M	0.74	0.99%	12.69M
48	Financial Conglomerates	4.26%	1.96%	6.12%	6.55%	10.89%	6.38%	1.92	3.12M	0.80	1.22%	2.50M
49	Financial Data & Stock Exchanges	3.74%	4.95%	11.86%	9.58%	29.42%	11.97%	1.97	42.11M	0.70	1.03%	29.56M
50	Food Distribution	0.24%	1.24%	7.97%	2.43%	18.68%	3.66%	1.78	9.61M	1.27	0.46%	12.17M
