
No.	Name	Market Cap	P/E	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS past 5Y	EPS next 5Y	Sales past 5Y	Change	Volume
1	Advertising Agencies	196.04B	38.98	20.73	1.29	2.82	8.25	14.00	22.76	56.70%	30.10%	27.86%	0.25%	53.49M
2	Aerospace & Defense	1450.10B	42.36	29.12	2.89	2.95	7.03	22.78	45.90	20.80%	14.65%	3.68%	-0.16%	150.71M
3	Agricultural Inputs	129.95B	31.89	17.03	3.00	1.67	1.69	21.58	20.47	3.20%	10.63%	4.38%	2.47%	17.95M
4	Airlines	150.04B	12.13	8.72	0.65	0.55	2.49	2.81	11.43	-6.14%	18.59%	6.14%	1.62%	93.52M
5	Airports & Air Services	36.42B	25.09	18.32	2.00	4.80	5.15	9.98	28.43	21.37%	12.56%	13.43%	1.58%	31.45M
6	Aluminum	13.30B	12.22	9.99	0.28	0.52	1.65	8.78	38.23	-5.09%	43.62%	4.21%	3.82%	12.31M
7	Apparel Manufacturing	63.34B	29.84	17.36	2.41	0.96	3.53	9.44	15.03	11.23%	12.40%	1.70%	1.65%	45.86M
8	Apparel Retail	266.98B	18.21	19.72	2.37	1.57	7.12	17.36	28.68	11.87%	7.69%	7.72%	0.60%	65.27M
9	Asset Management	1315.12B	28.76	17.71	2.06	3.65	3.51	11.58	21.61	5.24%	13.95%	18.32%	1.23%	124.39M
10	Auto & Truck Dealerships	155.14B	30.74	22.49	0.80	0.72	4.17	25.04	38.16	15.95%	38.24%	18.63%	2.02%	23.49M
11	Auto Manufacturers	1583.00B	25.66	23.20	1.88	1.36	2.57	5.80	88.20	22.60%	13.62%	28.33%	3.36%	486.57M
12	Auto Parts	291.32B	22.19	15.70	1.98	1.03	3.93	16.53	21.20	5.20%	11.19%	8.45%	0.58%	121.12M
13	Banks - Diversified	3133.56B	13.35	11.18	1.19	1.72	1.47	1008.71	16.34	10.00%	11.22%	12.18%	0.69%	144.89M
14	Banks - Regional	1686.43B	14.63	10.71	1.04	1.72	1.38	1384.25	9.77	7.75%	14.06%	15.62%	0.41%	402.77M
15	Beverages - Brewers	227.95B	23.35	14.82	2.37	1.58	1.82	10.48	11.55	-9.52%	9.85%	3.98%	1.50%	48.77M
16	Beverages - Non-Alcoholic	692.26B	26.65	19.94	3.82	3.15	6.98	21.65	46.07	7.50%	6.98%	7.98%	-0.15%	58.73M
17	Beverages - Wineries & Distilleries	87.02B	19.49	18.79	83.81	2.95	5.27	27.89	23.23	0.83%	0.23%	4.15%	1.46%	8.48M
18	Biotechnology	822.06B	56.70	33.16	3.10	8.54	3.63	4.74	57.43	-10.14%	18.30%	46.63%	1.88%	734.17M
19	Broadcasting	13.85B	9.13	8.23	-	0.57	1.48	5.06	4.70	31.01%	-7.33%	31.79%	1.28%	19.22M
