
No.	Name	Perf Week	Perf Month	Perf Quart	Perf Half	Perf Year	Perf YTD	Recom	Avg Volume	Rel Volume	Change	Volume
1	Advertising Agencies	1.87%	-9.10%	14.76%	-14.56%	47.64%	-12.20%	1.74	48.30M	1.13	0.07%	20.44M
2	Aerospace & Defense	1.48%	2.68%	16.80%	22.31%	35.35%	24.14%	1.83	160.44M	1.08	-0.44%	65.00M
3	Agricultural Inputs	3.65%	4.35%	20.85%	28.93%	26.86%	28.29%	2.09	19.81M	0.62	1.67%	4.60M
4	Airlines	5.28%	2.48%	19.58%	-5.96%	2.50%	-4.82%	1.74	140.30M	0.73	1.59%	38.56M
5	Airports & Air Services	6.31%	6.55%	28.28%	21.05%	37.77%	25.58%	2.51	24.92M	1.73	1.06%	16.15M
6	Aluminum	11.37%	14.98%	12.07%	-4.83%	-16.31%	-5.07%	1.66	10.51M	1.01	4.34%	3.96M
7	Apparel Manufacturing	6.08%	1.73%	2.46%	-13.74%	2.77%	-13.37%	2.20	49.44M	1.08	1.52%	20.02M
8	Apparel Retail	3.68%	-5.12%	1.82%	-10.90%	0.30%	-9.10%	1.84	59.22M	1.14	0.50%	25.19M
9	Asset Management	3.90%	7.28%	10.10%	-1.96%	26.09%	-0.80%	1.99	155.12M	0.77	0.70%	44.92M
10	Auto & Truck Dealerships	6.34%	7.69%	25.82%	17.26%	48.89%	20.06%	1.97	22.62M	0.75	1.37%	6.37M
11	Auto Manufacturers	-1.79%	-6.13%	11.84%	-20.59%	25.95%	-16.22%	2.41	496.24M	1.47	2.96%	271.97M
12	Auto Parts	5.15%	2.92%	4.53%	8.80%	11.56%	9.78%	1.85	106.82M	1.13	0.29%	45.25M
13	Banks - Diversified	2.90%	6.58%	15.87%	20.52%	36.21%	20.96%	1.88	143.84M	1.04	0.56%	55.72M
14	Banks - Regional	3.63%	5.83%	12.86%	12.40%	26.91%	13.11%	1.87	376.24M	1.08	0.19%	151.72M
15	Beverages - Brewers	3.29%	-1.91%	5.33%	18.51%	4.90%	19.55%	1.78	41.70M	0.96	1.15%	14.96M
16	Beverages - Non-Alcoholic	3.36%	0.87%	-2.29%	6.18%	2.80%	6.50%	1.91	64.32M	0.69	-0.06%	16.54M
17	Beverages - Wineries & Distilleries	5.52%	-5.45%	-2.56%	-19.13%	-21.43%	-18.94%	2.54	13.23M	0.59	1.11%	2.90M
18	Biotechnology	1.32%	4.59%	5.63%	-3.64%	-10.06%	-2.63%	1.56	611.70M	1.36	2.02%	311.07M
19	Broadcasting	5.28%	1.38%	-60.19%	-22.40%	-19.66%	-22.12%	1.93	24.31M	0.72	0.97%	6.55M
20	Building Materials	3.95%	0.70%	7.40%	-0.96%	12.51%	0.67%	1.78	26.23M	0.79	0.44%	7.77M
21	Building Products & Equipment	3.42%	5.47%	16.83%	7.02%	16.39%	8.23%	2.15	35.87M	1.00	0.27%	13.44M
22	Business Equipment & Supplies	5.09%	3.80%	-2.87%	-17.16%	-15.70%	-17.05%	1.00	1.24M	0.58	1.19%	268.83K
23	Capital Markets	4.75%	15.65%	29.81%	23.66%	51.24%	25.21%	2.06	373.80M	2.94	1.19%	411.05M
24	Chemicals	6.56%	7.48%	-10.06%	-25.64%	-46.04%	-26.08%	2.54	31.12M	0.85	2.52%	9.84M
25	Coking Coal	19.02%	11.91%	2.67%	-18.55%	-33.93%	-19.27%	1.95	3.36M	2.73	12.74%	3.43M
26	Communication Equipment	1.24%	7.03%	11.50%	7.65%	36.63%	8.75%	2.06	155.35M	0.87	-0.77%	50.69M
27	Computer Hardware	3.60%	11.98%	29.71%	0.38%	1.38%	2.98%	1.79	283.15M	1.15	1.14%	122.09M
28	Confectioners	3.55%	4.03%	2.91%	12.06%	3.67%	13.12%	2.20	9.75M	0.97	0.49%	3.53M
29	Conglomerates	6.82%	6.18%	9.13%	8.19%	21.20%	9.47%	2.07	16.24M	0.69	0.70%	4.18M
30	Consulting Services	1.82%	-0.83%	2.40%	1.31%	-0.69%	1.88%	2.27	5.98M	0.83	-1.14%	1.85M
31	Consumer Electronics	4.75%	4.31%	-4.98%	-16.10%	1.88%	-14.38%	1.98	75.63M	1.35	1.64%	38.30M
32	Copper	9.83%	14.99%	18.32%	17.91%	-0.95%	20.42%	2.48	39.94M	1.43	4.08%	21.35M
33	Credit Services	3.11%	1.30%	7.63%	8.34%	35.47%	9.55%	1.84	144.72M	0.95	-0.13%	51.66M
34	Department Stores	11.26%	12.91%	11.84%	-17.32%	-23.61%	-13.81%	3.66	18.36M	0.98	0.32%	6.73M
35	Diagnostics & Research	2.50%	7.88%	1.29%	-9.94%	-11.81%	-9.06%	1.69	57.69M	0.72	0.86%	15.63M
36	Discount Stores	0.03%	-3.12%	7.28%	5.13%	25.90%	7.01%	1.67	43.27M	0.58	-0.78%	9.36M
37	Drug Manufacturers - General	2.44%	2.42%	-1.78%	1.13%	-10.37%	2.10%	1.99	147.46M	0.80	0.64%	44.03M
38	Drug Manufacturers - Specialty & Generic	-0.91%	-3.81%	4.97%	-1.04%	3.73%	-0.04%	1.81	127.63M	0.87	-0.12%	41.59M
39	Education & Training Services	-2.89%	-4.28%	2.95%	4.34%	6.00%	3.61%	1.79	40.97M	0.94	-3.36%	14.41M
40	Electrical Equipment & Parts	3.93%	14.17%	34.09%	1.08%	17.65%	2.65%	1.82	174.93M	1.15	1.20%	75.12M
41	Electronic Components	1.84%	11.86%	37.31%	26.13%	38.82%	28.15%	1.75	41.78M	0.89	0.86%	13.86M
42	Electronic Gaming & Multimedia	-0.22%	9.04%	27.96%	36.92%	52.55%	39.60%	1.74	20.04M	0.82	-0.14%	6.16M
43	Electronics & Computer Distribution	2.56%	11.58%	19.52%	7.23%	3.71%	7.95%	2.37	3.09M	0.87	1.08%	1.01M
44	Engineering & Construction	1.67%	7.40%	32.53%	14.68%	32.68%	16.07%	1.72	29.14M	0.65	-0.01%	7.07M
45	Entertainment	1.07%	6.21%	28.20%	25.15%	57.63%	26.67%	1.76	151.34M	0.82	-0.78%	46.44M
46	Farm & Heavy Construction Machinery	5.11%	9.41%	13.13%	11.20%	21.22%	12.03%	2.23	32.74M	1.21	1.48%	14.84M
47	Farm Products	4.14%	7.91%	4.88%	4.28%	-5.55%	4.47%	2.57	17.25M	1.11	1.00%	7.13M
48	Financial Conglomerates	5.05%	3.20%	7.31%	6.76%	10.77%	7.03%	1.92	3.14M	0.56	0.03%	659.79K
