
No.	Name	Market Cap	P/E	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS past 5Y	EPS next 5Y	Sales past 5Y	Change	Volume
1	Advertising Agencies	198.44B	39.45	20.98	1.30	2.85	8.35	14.17	23.04	56.89%	30.23%	27.94%	1.19%	44.46M
2	Aerospace & Defense	1467.37B	42.86	29.46	2.92	2.99	7.11	23.05	46.44	20.86%	14.66%	3.71%	1.15%	91.74M
3	Agricultural Inputs	130.15B	31.94	17.06	3.01	1.67	1.70	21.61	20.50	3.22%	10.61%	4.38%	0.16%	9.38M
4	Airlines	151.02B	12.21	8.75	0.66	0.55	2.51	2.83	11.51	-6.18%	18.53%	6.14%	0.64%	71.52M
5	Airports & Air Services	36.61B	25.22	18.42	2.00	4.83	5.18	10.03	28.58	21.42%	12.58%	13.39%	0.52%	23.15M
6	Aluminum	13.29B	12.21	9.98	0.28	0.52	1.65	8.77	38.18	-5.08%	43.80%	4.23%	-0.12%	5.06M
7	Apparel Manufacturing	63.71B	30.01	17.47	2.42	0.96	3.55	9.50	15.12	11.30%	12.40%	1.71%	0.66%	21.30M
8	Apparel Retail	268.43B	18.31	19.83	2.38	1.58	7.16	17.46	28.84	11.90%	7.70%	7.72%	0.54%	27.88M
9	Asset Management	1331.51B	29.10	17.92	2.08	3.70	3.54	11.71	21.88	5.16%	13.97%	18.35%	1.28%	88.78M
10	Auto & Truck Dealerships	156.40B	30.98	22.67	0.81	0.73	4.21	25.24	38.47	15.98%	38.30%	18.68%	0.60%	10.48M
11	Auto Manufacturers	1587.58B	25.74	23.17	1.91	1.36	2.58	5.82	88.46	22.50%	13.48%	28.30%	0.29%	429.67M
12	Auto Parts	295.29B	22.50	15.91	2.01	1.05	3.98	16.75	21.49	5.37%	11.19%	8.48%	1.38%	83.99M
13	Banks - Diversified	3166.72B	13.49	12.38	1.20	1.74	1.49	1019.39	16.52	9.99%	11.26%	12.18%	1.06%	90.51M
14	Banks - Regional	1705.40B	14.79	10.83	1.05	1.74	1.40	1399.82	9.87	7.73%	14.11%	15.60%	1.08%	236.17M
15	Beverages - Brewers	226.49B	23.20	14.74	2.35	1.57	1.80	10.42	11.48	-9.49%	9.87%	3.98%	-0.64%	13.26M
16	Beverages - Non-Alcoholic	694.32B	26.73	20.09	3.79	3.16	7.00	21.68	46.22	7.54%	7.04%	7.98%	0.30%	34.58M
17	Beverages - Wineries & Distilleries	86.44B	19.36	18.66	81.91	2.93	5.24	27.70	23.08	0.85%	0.24%	4.17%	-0.50%	4.98M
18	Biotechnology	828.90B	57.16	33.32	3.14	8.61	3.66	4.78	57.91	-10.27%	18.18%	46.70%	0.82%	477.16M
19	Broadcasting	14.04B	9.25	8.34	-	0.57	1.50	5.13	4.77	31.03%	-7.33%	31.83%	1.21%	11.79M
20	Building Materials	194.10B	21.63	17.25	1.88	2.27	2.86	31.32	29.80	22.73%	11.53%	6.58%	0.27%	12.53M
21	Building Products & Equipment	388.25B	25.48	21.37	2.29	2.57	5.76	52.08	27.76	12.32%	11.12%	5.70%	0.64%	21.92M
22	Business Equipment & Supplies	1.20B	30.90	12.38	-	0.54	0.75	2.59	7.71	1.33%	-	16.55%	0.80%	554.56K
23	Capital Markets	1017.62B	22.79	18.41	1.75	1.93	2.96	4.52	9.44	13.46%	12.99%	32.05%	0.66%	542.03M
24	Chemicals	39.78B	46.16	17.95	13.60	0.41	1.11	5.02	20.67	16.72%	3.39%	2.37%	-0.31%	16.21M
25	Coking Coal	5.50B	24.50	10.43	1.75	0.85	1.18	4.69	13.83	-6.86%	14.01%	7.21%	-1.06%	2.60M
26	Communication Equipment	540.04B	34.11	18.28	4.03	2.99	4.29	10.15	21.60	11.31%	8.46%	1.91%	1.03%	125.65M
27	Computer Hardware	411.86B	29.72	20.93	1.40	1.86	10.32	10.69	27.53	10.61%	21.21%	11.09%	0.69%	153.50M
28	Confectioners	128.15B	27.07	24.54	-	2.67	4.31	38.62	24.46	7.74%	-0.38%	7.05%	-0.70%	4.25M
29	Conglomerates	262.07B	23.60	19.76	3.09	2.06	6.53	10.85	35.68	0.80%	7.63%	-0.93%	0.15%	9.67M
30	Consulting Services	101.75B	32.86	26.15	2.70	3.42	9.58	36.71	30.77	18.05%	12.15%	6.47%	0.46%	13.09M
31	Consumer Electronics	3349.37B	32.46	26.82	4.30	6.60	26.45	46.16	28.81	15.00%	7.55%	8.21%	0.48%	39.67M
32	Copper	160.21B	29.07	21.03	2.20	4.03	5.03	15.71	30.70	17.54%	13.19%	10.36%	-0.15%	20.88M
33	Credit Services	1796.32B	29.40	21.66	2.06	5.51	6.39	12.52	19.03	10.40%	14.24%	10.43%	1.17%	85.21M
34	Department Stores	11.57B	10.72	14.29	-	0.25	1.20	5.15	11.73	31.16%	-20.35%	-0.45%	0.85%	8.11M
35	Diagnostics & Research	631.49B	34.73	21.41	3.65	3.92	3.60	26.04	26.10	9.32%	9.52%	9.83%	0.27%	24.66M
36	Discount Stores	1345.28B	41.19	33.83	4.49	1.16	9.44	45.16	47.51	9.50%	9.18%	7.19%	0.52%	18.02M
37	Drug Manufacturers - General	3091.33B	25.00	13.29	1.23	4.47	6.26	22.08	18.91	6.24%	20.25%	9.53%	-0.59%	94.96M
38	Drug Manufacturers - Specialty & Generic	309.57B	35.37	14.10	2.21	2.33	2.33	11.98	15.84	10.63%	16.00%	8.11%	2.07%	77.73M
39	Education & Training Services	51.59B	21.07	16.96	1.28	1.63	2.36	3.51	22.92	12.89%	16.48%	8.77%	0.41%	19.98M
40	Electrical Equipment & Parts	126.85B	36.71	22.74	1.96	3.12	5.10	15.39	28.41	21.91%	18.69%	10.29%	1.75%	117.71M
41	Electronic Components	335.66B	44.66	23.80	2.77	2.35	5.62	22.07	31.37	17.07%	16.10%	7.66%	1.11%	22.23M
42	Electronic Gaming & Multimedia	241.10B	40.02	20.02	1.91	6.55	7.48	8.28	26.67	-22.07%	21.00%	21.44%	0.14%	7.58M
43	Electronics & Computer Distribution	31.17B	18.25	10.86	1.43	0.25	1.38	15.26	10.41	5.44%	12.79%	8.31%	0.53%	1.83M
44	Engineering & Construction	310.27B	24.79	26.40	1.56	1.60	5.28	17.65	25.44	24.03%	15.91%	10.79%	1.67%	16.00M
45	Entertainment	1092.23B	51.17	34.55	2.47	3.29	4.78	19.09	30.63	17.95%	20.75%	11.69%	0.91%	86.16M
46	Farm & Heavy Construction Machinery	428.85B	20.28	18.59	13.09	2.08	5.09	16.55	23.56	16.28%	1.55%	4.26%	-0.22%	25.20M
47	Farm Products	69.64B	15.57	12.91	2.44	0.33	1.24	6.33	25.15	4.58%	6.38%	6.56%	-1.10%	8.41M
48	Financial Conglomerates	44.47B	14.75	2.70	1.03	1.38	1.26	2.92	23.90	4.55%	14.39%	13.76%	0.80%	1.80M
49	Financial Data & Stock Exchanges	722.98B	40.02	27.73	4.48	9.91	5.64	32.43	28.26	8.98%	8.93%	18.03%	0.72%	16.08M
50	Food Distribution	77.53B	25.96	17.07	1.98	0.32	4.72	34.69	18.13	5.60%	13.11%	9.85%	0.09%	5.21M
51	Footwear & Accessories	175.29B	27.59	24.94	2.68	2.22	6.03	12.51	21.04	11.20%	10.30%	12.50%	0.11%	24.84M
52	Furnishings, Fixtures & Appliances	61.00B	28.11	14.44	2.47	0.86	2.35	14.25	18.45	4.03%	11.40%	6.92%	0.22%	10.08M
53	Gambling	119.37B	63.45	25.16	2.28	3.50	7.53	15.47	29.56	-20.86%	27.79%	41.77%	-0.02%	48.72M
54	Gold	401.87B	21.90	12.87	0.99	4.71	2.55	18.06	26.00	11.53%	22.19%	13.09%	0.59%	133.73M
55	Grocery Stores	81.39B	19.85	14.80	1.76	0.31	4.23	10.16	25.98	14.77%	11.28%	5.01%	-0.05%	13.75M
56	Health Information Services	117.11B	73.64	37.53	4.15	3.43	4.64	8.48	31.65	15.25%	17.75%	23.05%	1.28%	37.92M
57	Healthcare Plans	597.78B	13.59	10.42	1.70	0.38	1.95	46.07	12.91	-0.13%	8.00%	11.24%	0.08%	84.18M
58	Home Improvement Retail	507.34B	23.43	21.18	4.10	2.01	47.54	98.82	23.01	10.16%	5.72%	6.64%	0.11%	5.61M
59	Household & Personal Products	795.68B	27.24	21.14	4.85	3.04	7.45	30.46	23.19	15.43%	5.61%	4.00%	-0.00%	59.88M
60	Industrial Distribution	226.27B	29.75	23.72	3.57	1.73	6.43	48.82	30.66	16.03%	8.34%	8.84%	0.87%	9.99M
61	Information Technology Services	1040.94B	29.69	19.84	3.39	2.68	5.05	16.54	20.02	5.14%	8.77%	4.93%	1.18%	293.94M
62	Insurance - Diversified	2243.71B	24.71	36.97	17.43	2.60	2.98	3.23	48.06	4.70%	1.42%	7.99%	0.96%	16.12M
63	Insurance - Life	296.93B	14.08	8.76	1.71	1.07	1.57	6785.39	5.01	7.12%	8.24%	-4.46%	0.82%	14.68M
64	Insurance - Property & Casualty	631.08B	12.16	13.08	1.52	1.48	2.23	669.80	7.62	13.57%	8.01%	10.72%	1.57%	20.62M
65	Insurance - Reinsurance	44.16B	12.52	6.63	0.85	0.78	1.13	-	3.01	4.15%	14.69%	15.96%	1.35%	1.88M
66	Insurance - Specialty	83.10B	14.54	11.28	0.91	2.13	1.64	408.26	6.48	4.99%	16.00%	9.03%	1.27%	10.83M
67	Insurance Brokers	369.65B	33.28	21.89	3.06	4.57	5.32	15.77	28.81	16.35%	10.88%	9.13%	1.04%	8.23M
68	Integrated Freight & Logistics	217.08B	16.58	13.64	2.43	0.85	3.42	12.63	19.84	11.29%	6.82%	5.22%	-0.38%	12.89M
69	Internet Content & Information	6529.08B	39.42	34.58	3.04	6.63	11.48	19.93	31.11	27.16%	12.97%	17.49%	0.64%	167.93M
70	Internet Retail	3262.61B	30.36	23.47	1.25	2.79	5.77	10.91	74.18	32.92%	24.32%	23.60%	1.08%	87.91M
71	Leisure	79.65B	33.97	22.18	1.57	1.93	4.18	15.69	25.27	-18.02%	21.65%	11.14%	0.49%	23.41M
72	Lodging	202.91B	33.34	25.42	2.86	3.47	46.71	29.37	30.40	17.14%	11.64%	4.51%	1.02%	6.17M
73	Lumber & Wood Production	22.81B	23.03	14.81	5.04	1.06	1.63	11.17	30.66	29.56%	4.57%	10.79%	-0.85%	936.40K
74	Luxury Goods	26.66B	31.45	15.22	2.61	1.25	5.91	13.04	17.96	-10.70%	12.07%	2.25%	3.25%	8.94M
75	Marine Shipping	33.87B	5.17	8.10	0.30	0.97	0.88	4.59	5.23	30.45%	17.01%	16.30%	0.38%	15.18M
76	Medical Care Facilities	217.19B	18.25	13.83	1.41	0.93	4.16	18.52	14.56	11.00%	12.93%	7.41%	-0.08%	22.88M
77	Medical Devices	973.59B	32.58	22.94	2.75	4.25	4.08	20.91	34.67	9.01%	11.85%	8.88%	0.23%	81.45M
78	Medical Distribution	196.99B	28.84	16.95	2.43	0.21	37.48	16.68	16.23	20.45%	11.85%	9.28%	1.78%	4.02M
79	Medical Instruments & Supplies	495.51B	48.86	24.47	4.22	4.34	3.66	25.11	37.46	11.03%	11.58%	9.60%	0.15%	27.31M
