
No.	Name	Market Cap	P/E	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS past 5Y	EPS next 5Y	Sales past 5Y	Change	Volume
1	Advertising Agencies	198.49B	39.46	21.00	1.28	2.85	8.35	14.15	23.05	57.96%	30.81%	28.26%	3.91%	53.43M
2	Aerospace & Defense	1478.02B	43.18	29.69	2.92	3.01	7.17	23.22	46.78	22.07%	14.78%	3.63%	0.63%	219.55M
3	Agricultural Inputs	125.73B	30.85	16.48	2.91	1.62	1.64	20.87	19.81	3.29%	10.60%	4.38%	0.60%	18.13M
4	Airlines	146.48B	11.84	8.46	0.64	0.53	2.43	2.75	11.16	-5.95%	18.42%	6.13%	0.38%	94.02M
5	Airports & Air Services	36.19B	24.93	18.41	1.99	4.77	5.12	9.92	28.25	21.25%	12.51%	13.42%	3.05%	72.67M
6	Aluminum	12.51B	11.50	9.40	0.26	0.49	1.56	8.26	35.96	-5.09%	43.67%	4.22%	1.96%	9.33M
7	Apparel Manufacturing	61.13B	28.80	16.75	2.32	0.92	3.40	9.11	14.51	11.32%	12.44%	1.73%	-0.00%	36.14M
8	Apparel Retail	260.25B	17.75	19.24	2.33	1.53	6.94	16.93	27.96	11.79%	7.62%	7.70%	0.17%	47.38M
9	Asset Management	1291.47B	28.24	17.43	2.04	3.59	3.44	11.37	21.22	5.26%	13.87%	18.40%	-0.05%	144.32M
10	Auto & Truck Dealerships	149.40B	29.56	21.63	0.77	0.70	4.01	24.10	36.75	15.82%	38.49%	18.82%	1.88%	21.92M
11	Auto Manufacturers	1581.63B	25.64	23.30	1.87	1.36	2.57	5.80	88.13	21.66%	13.72%	28.61%	-1.64%	369.67M
12	Auto Parts	284.64B	21.69	15.35	1.95	1.01	3.84	16.15	20.71	5.56%	11.13%	8.53%	0.80%	140.42M
13	Banks - Diversified	3098.40B	13.20	11.06	1.19	1.70	1.46	997.39	16.16	10.06%	11.10%	12.19%	0.62%	141.65M
14	Banks - Regional	1656.49B	14.37	10.53	1.03	1.69	1.36	1359.68	9.46	7.88%	14.01%	15.66%	0.10%	480.81M
15	Beverages - Brewers	222.48B	22.79	14.49	2.33	1.54	1.78	10.23	11.35	-9.32%	9.77%	3.96%	0.80%	58.65M
16	Beverages - Non-Alcoholic	682.76B	26.29	19.67	3.75	3.10	6.89	21.35	45.44	7.47%	7.02%	7.99%	0.82%	62.61M
17	Beverages - Wineries & Distilleries	82.80B	18.54	17.87	77.62	2.80	5.16	26.53	22.11	0.86%	0.24%	4.16%	0.51%	12.19M
18	Biotechnology	804.96B	55.52	32.46	2.99	8.36	3.56	4.65	56.24	-10.09%	18.59%	46.94%	0.06%	755.98M
19	Broadcasting	13.66B	9.00	8.09	-	0.56	1.46	5.00	4.64	30.88%	-7.17%	33.75%	2.80%	25.52M
20	Building Materials	201.04B	21.40	16.81	1.87	2.25	2.87	28.80	29.25	21.96%	11.44%	6.70%	-0.09%	45.79M
21	Building Products & Equipment	377.95B	24.81	20.82	2.26	2.51	5.61	50.74	27.03	12.38%	10.95%	5.68%	0.32%	66.12M
22	Business Equipment & Supplies	1.13B	29.15	11.70	-	0.51	0.71	2.45	6.69	1.33%	-	16.81%	-1.32%	1.02M
23	Capital Markets	997.21B	22.33	18.08	1.73	1.89	2.90	4.43	9.25	13.66%	12.94%	31.68%	2.09%	691.22M
