
No.	Name	Market Cap	P/E	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS past 5Y	EPS next 5Y	Sales past 5Y	Change	Volume
1	Advertising Agencies	198.25B	39.41	20.98	1.28	2.84	8.34	14.14	23.02	57.87%	30.75%	28.23%	3.79%	43.22M
2	Aerospace & Defense	1478.45B	43.19	29.70	2.92	3.01	7.17	23.23	46.80	22.05%	14.77%	3.64%	0.66%	184.23M
3	Agricultural Inputs	125.68B	30.84	16.47	2.91	1.62	1.64	20.87	19.80	3.30%	10.60%	4.38%	0.56%	10.80M
4	Airlines	146.46B	11.84	8.46	0.64	0.53	2.43	2.74	11.16	-5.95%	18.41%	6.13%	0.37%	74.65M
5	Airports & Air Services	36.09B	24.86	18.36	1.99	4.76	5.11	9.89	28.18	21.31%	12.52%	13.43%	2.79%	65.91M
6	Aluminum	12.52B	11.51	9.41	0.26	0.49	1.56	8.27	35.99	-5.09%	43.67%	4.22%	2.06%	6.10M
7	Apparel Manufacturing	61.14B	28.80	16.75	2.31	0.92	3.40	9.11	14.51	11.34%	12.45%	1.73%	0.03%	26.40M
8	Apparel Retail	260.59B	17.77	19.26	2.33	1.54	6.95	16.95	28.00	11.79%	7.62%	7.70%	0.31%	33.77M
9	Asset Management	1291.56B	28.25	17.43	2.04	3.59	3.45	11.37	21.22	5.25%	13.88%	18.40%	-0.05%	111.44M
10	Auto & Truck Dealerships	149.66B	29.61	21.67	0.77	0.70	4.02	24.15	36.81	15.81%	38.55%	18.84%	2.02%	15.45M
11	Auto Manufacturers	1584.14B	25.68	23.33	1.87	1.36	2.57	5.81	88.27	21.65%	13.73%	28.61%	-1.48%	330.45M
12	Auto Parts	284.87B	21.70	15.36	1.95	1.01	3.84	16.16	20.73	5.58%	11.12%	8.53%	0.90%	118.93M
13	Banks - Diversified	3096.24B	13.19	11.06	1.19	1.70	1.46	996.70	16.15	10.06%	11.10%	12.19%	0.55%	102.89M
14	Banks - Regional	1656.71B	14.38	10.53	1.03	1.69	1.36	1359.86	9.46	7.88%	14.01%	15.67%	0.11%	401.24M
15	Beverages - Brewers	222.37B	22.78	14.49	2.33	1.54	1.78	10.23	11.34	-9.33%	9.77%	3.96%	0.75%	52.81M
16	Beverages - Non-Alcoholic	682.98B	26.29	19.68	3.75	3.10	6.89	21.36	45.45	7.46%	7.02%	7.99%	0.85%	40.68M
17	Beverages - Wineries & Distilleries	82.82B	18.55	17.88	77.44	2.81	5.17	26.54	22.11	0.86%	0.24%	4.16%	0.54%	10.26M
18	Biotechnology	805.45B	55.55	32.48	2.99	8.37	3.56	4.65	56.27	-10.10%	18.59%	46.94%	0.12%	646.12M
19	Broadcasting	13.67B	9.01	8.09	-	0.56	1.46	5.00	4.64	30.89%	-7.17%	33.70%	2.85%	22.47M
20	Building Materials	200.74B	21.37	16.78	1.87	2.25	2.87	28.76	29.21	21.96%	11.44%	6.71%	-0.24%	31.82M
21	Building Products & Equipment	378.01B	24.81	20.83	2.27	2.51	5.61	50.75	27.03	12.38%	10.95%	5.69%	0.34%	34.52M
22	Business Equipment & Supplies	1.14B	29.18	11.71	-	0.51	0.71	2.45	6.69	1.33%	-	16.79%	-1.22%	670.42K
